[2021-03-27 17:52:07]: Path: save/1616881927/ is created
[2021-03-27 17:52:14]: Start train process.
[2021-03-27 17:52:14]: | epoch   0 |     0/ 3494 batches | rec loss 7.9457 | dis loss 0.8389 |
[2021-03-27 17:52:24]: | epoch   0 |   200/ 3494 batches | rec loss 5.0221 | dis loss 0.6486 |
[2021-03-27 17:52:33]: | epoch   0 |   400/ 3494 batches | rec loss 3.5236 | dis loss 0.5410 |
[2021-03-27 17:52:43]: | epoch   0 |   600/ 3494 batches | rec loss 3.0887 | dis loss 0.4489 |
[2021-03-27 17:52:53]: | epoch   0 |   800/ 3494 batches | rec loss 2.6011 | dis loss 0.4457 |
[2021-03-27 17:53:03]: | epoch   0 |  1000/ 3494 batches | rec loss 1.9723 | dis loss 0.3658 |
[2021-03-27 17:53:13]: | epoch   0 |  1200/ 3494 batches | rec loss 1.8921 | dis loss 0.3743 |
[2021-03-27 17:53:23]: | epoch   0 |  1400/ 3494 batches | rec loss 1.5979 | dis loss 0.3705 |
[2021-03-27 17:53:33]: | epoch   0 |  1600/ 3494 batches | rec loss 1.7086 | dis loss 0.2568 |
[2021-03-27 17:53:42]: | epoch   0 |  1800/ 3494 batches | rec loss 1.5166 | dis loss 0.2816 |
[2021-03-27 17:53:52]: | epoch   0 |  2000/ 3494 batches | rec loss 1.4293 | dis loss 0.3413 |
[2021-03-27 17:54:02]: | epoch   0 |  2200/ 3494 batches | rec loss 1.2059 | dis loss 0.2769 |
[2021-03-27 17:54:12]: | epoch   0 |  2400/ 3494 batches | rec loss 1.0301 | dis loss 0.2600 |
[2021-03-27 17:54:21]: | epoch   0 |  2600/ 3494 batches | rec loss 1.1116 | dis loss 0.2533 |
[2021-03-27 17:54:31]: | epoch   0 |  2800/ 3494 batches | rec loss 1.0730 | dis loss 0.2501 |
[2021-03-27 17:54:42]: | epoch   0 |  3000/ 3494 batches | rec loss 1.0802 | dis loss 0.2909 |
[2021-03-27 17:54:51]: | epoch   0 |  3200/ 3494 batches | rec loss 0.9083 | dis loss 0.2773 |
[2021-03-27 17:55:01]: | epoch   0 |  3400/ 3494 batches | rec loss 0.8809 | dis loss 0.2273 |
[2021-03-27 17:55:06]: | end of epoch   0 | time: 172.63s |
[2021-03-27 17:55:06]: | epoch   1 |     0/ 3494 batches | rec loss 0.9993 | dis loss 0.2993 |
[2021-03-27 17:55:16]: | epoch   1 |   200/ 3494 batches | rec loss 1.0033 | dis loss 0.4176 |
[2021-03-27 17:55:26]: | epoch   1 |   400/ 3494 batches | rec loss 0.7414 | dis loss 0.3544 |
[2021-03-27 17:55:36]: | epoch   1 |   600/ 3494 batches | rec loss 0.8433 | dis loss 0.2743 |
[2021-03-27 17:55:45]: | epoch   1 |   800/ 3494 batches | rec loss 0.8356 | dis loss 0.2960 |
[2021-03-27 17:55:55]: | epoch   1 |  1000/ 3494 batches | rec loss 0.7011 | dis loss 0.2195 |
[2021-03-27 17:56:05]: | epoch   1 |  1200/ 3494 batches | rec loss 0.6881 | dis loss 0.3088 |
[2021-03-27 17:56:15]: | epoch   1 |  1400/ 3494 batches | rec loss 0.6629 | dis loss 0.2134 |
[2021-03-27 17:56:24]: | epoch   1 |  1600/ 3494 batches | rec loss 0.7384 | dis loss 0.2007 |
[2021-03-27 17:56:34]: | epoch   1 |  1800/ 3494 batches | rec loss 0.6817 | dis loss 0.1997 |
[2021-03-27 17:56:44]: | epoch   1 |  2000/ 3494 batches | rec loss 0.7202 | dis loss 0.2884 |
[2021-03-27 17:56:54]: | epoch   1 |  2200/ 3494 batches | rec loss 0.5926 | dis loss 0.2617 |
[2021-03-27 17:57:04]: | epoch   1 |  2400/ 3494 batches | rec loss 0.5337 | dis loss 0.2049 |
[2021-03-27 17:57:14]: | epoch   1 |  2600/ 3494 batches | rec loss 0.6802 | dis loss 0.2228 |
[2021-03-27 17:57:24]: | epoch   1 |  2800/ 3494 batches | rec loss 0.6835 | dis loss 0.1937 |
[2021-03-27 17:57:34]: | epoch   1 |  3000/ 3494 batches | rec loss 0.6706 | dis loss 0.2729 |
[2021-03-27 17:57:43]: | epoch   1 |  3200/ 3494 batches | rec loss 0.5692 | dis loss 0.2960 |
[2021-03-27 17:57:53]: | epoch   1 |  3400/ 3494 batches | rec loss 0.5730 | dis loss 0.2030 |
[2021-03-27 17:57:58]: | end of epoch   1 | time: 171.54s |
[2021-03-27 17:57:59]: | epoch   2 |     0/ 3494 batches | rec loss 0.7202 | dis loss 0.2804 |
[2021-03-27 17:58:08]: | epoch   2 |   200/ 3494 batches | rec loss 0.7276 | dis loss 0.3898 |
[2021-03-27 17:58:45]: | epoch   2 |   400/ 3494 batches | rec loss 0.5270 | dis loss 0.3201 |
[2021-03-27 17:58:54]: | epoch   2 |   600/ 3494 batches | rec loss 0.5869 | dis loss 0.2184 |
[2021-03-27 17:59:04]: | epoch   2 |   800/ 3494 batches | rec loss 0.6510 | dis loss 0.2444 |
[2021-03-27 17:59:14]: | epoch   2 |  1000/ 3494 batches | rec loss 0.5232 | dis loss 0.2072 |
[2021-03-27 17:59:24]: | epoch   2 |  1200/ 3494 batches | rec loss 0.5099 | dis loss 0.2653 |
[2021-03-27 17:59:34]: | epoch   2 |  1400/ 3494 batches | rec loss 0.5167 | dis loss 0.2749 |
[2021-03-27 17:59:43]: | epoch   2 |  1600/ 3494 batches | rec loss 0.5875 | dis loss 0.1839 |
[2021-03-27 17:59:53]: | epoch   2 |  1800/ 3494 batches | rec loss 0.5584 | dis loss 0.1621 |
[2021-03-27 18:00:03]: | epoch   2 |  2000/ 3494 batches | rec loss 0.5778 | dis loss 0.2723 |
[2021-03-27 18:00:13]: | epoch   2 |  2200/ 3494 batches | rec loss 0.4745 | dis loss 0.2192 |
[2021-03-27 18:00:22]: | epoch   2 |  2400/ 3494 batches | rec loss 0.4273 | dis loss 0.1823 |
[2021-03-27 18:00:32]: | epoch   2 |  2600/ 3494 batches | rec loss 0.5151 | dis loss 0.2189 |
[2021-03-27 18:00:42]: | epoch   2 |  2800/ 3494 batches | rec loss 0.5507 | dis loss 0.2203 |
[2021-03-27 18:00:52]: | epoch   2 |  3000/ 3494 batches | rec loss 0.5637 | dis loss 0.2369 |
[2021-03-27 18:01:01]: | epoch   2 |  3200/ 3494 batches | rec loss 0.4621 | dis loss 0.2350 |
[2021-03-27 18:01:11]: | epoch   2 |  3400/ 3494 batches | rec loss 0.4883 | dis loss 0.1834 |
[2021-03-27 18:01:16]: | end of epoch   2 | time: 197.77s |
[2021-03-27 18:01:17]: | epoch   3 |     0/ 3494 batches | rec loss 0.6008 | dis loss 0.2192 |
[2021-03-27 18:01:26]: | epoch   3 |   200/ 3494 batches | rec loss 0.5888 | dis loss 0.3400 |
[2021-03-27 18:01:36]: | epoch   3 |   400/ 3494 batches | rec loss 0.4309 | dis loss 0.2865 |
[2021-03-27 18:01:46]: | epoch   3 |   600/ 3494 batches | rec loss 0.5008 | dis loss 0.1924 |
[2021-03-27 18:01:56]: | epoch   3 |   800/ 3494 batches | rec loss 0.5295 | dis loss 0.2271 |
[2021-03-27 18:02:05]: | epoch   3 |  1000/ 3494 batches | rec loss 0.4472 | dis loss 0.2152 |
[2021-03-27 18:02:15]: | epoch   3 |  1200/ 3494 batches | rec loss 0.4340 | dis loss 0.2697 |
[2021-03-27 18:02:25]: | epoch   3 |  1400/ 3494 batches | rec loss 0.4264 | dis loss 0.1937 |
[2021-03-27 18:02:35]: | epoch   3 |  1600/ 3494 batches | rec loss 0.5063 | dis loss 0.1606 |
[2021-03-27 18:02:44]: | epoch   3 |  1800/ 3494 batches | rec loss 0.4911 | dis loss 0.1466 |
[2021-03-27 18:02:54]: | epoch   3 |  2000/ 3494 batches | rec loss 0.5114 | dis loss 0.3031 |
[2021-03-27 18:03:04]: | epoch   3 |  2200/ 3494 batches | rec loss 0.4180 | dis loss 0.2359 |
[2021-03-27 18:03:14]: | epoch   3 |  2400/ 3494 batches | rec loss 0.3833 | dis loss 0.1653 |
[2021-03-27 18:03:23]: | epoch   3 |  2600/ 3494 batches | rec loss 0.4815 | dis loss 0.1778 |
[2021-03-27 18:03:33]: | epoch   3 |  2800/ 3494 batches | rec loss 0.4942 | dis loss 0.1956 |
[2021-03-27 18:03:43]: | epoch   3 |  3000/ 3494 batches | rec loss 0.5126 | dis loss 0.2572 |
[2021-03-27 18:03:53]: | epoch   3 |  3200/ 3494 batches | rec loss 0.4208 | dis loss 0.2517 |
[2021-03-27 18:04:03]: | epoch   3 |  3400/ 3494 batches | rec loss 0.3965 | dis loss 0.2162 |
[2021-03-27 18:04:07]: | end of epoch   3 | time: 170.85s |
[2021-03-27 18:04:08]: | epoch   4 |     0/ 3494 batches | rec loss 0.5425 | dis loss 0.2457 |
[2021-03-27 18:04:18]: | epoch   4 |   200/ 3494 batches | rec loss 0.5510 | dis loss 0.3299 |
[2021-03-27 18:04:27]: | epoch   4 |   400/ 3494 batches | rec loss 0.3884 | dis loss 0.2252 |
[2021-03-27 18:04:37]: | epoch   4 |   600/ 3494 batches | rec loss 0.4576 | dis loss 0.1549 |
[2021-03-27 18:04:47]: | epoch   4 |   800/ 3494 batches | rec loss 0.5037 | dis loss 0.2311 |
[2021-03-27 18:04:57]: | epoch   4 |  1000/ 3494 batches | rec loss 0.4084 | dis loss 0.1924 |
[2021-03-27 18:05:07]: | epoch   4 |  1200/ 3494 batches | rec loss 0.3769 | dis loss 0.2273 |
[2021-03-27 18:05:17]: | epoch   4 |  1400/ 3494 batches | rec loss 0.4011 | dis loss 0.2334 |
[2021-03-27 18:05:26]: | epoch   4 |  1600/ 3494 batches | rec loss 0.4590 | dis loss 0.1590 |
[2021-03-27 18:05:36]: | epoch   4 |  1800/ 3494 batches | rec loss 0.4542 | dis loss 0.1600 |
[2021-03-27 18:05:46]: | epoch   4 |  2000/ 3494 batches | rec loss 0.4736 | dis loss 0.2683 |
[2021-03-27 18:05:56]: | epoch   4 |  2200/ 3494 batches | rec loss 0.3818 | dis loss 0.2193 |
[2021-03-27 18:06:05]: | epoch   4 |  2400/ 3494 batches | rec loss 0.3433 | dis loss 0.1557 |
[2021-03-27 18:06:15]: | epoch   4 |  2600/ 3494 batches | rec loss 0.4352 | dis loss 0.1679 |
[2021-03-27 18:06:25]: | epoch   4 |  2800/ 3494 batches | rec loss 0.4584 | dis loss 0.2037 |
[2021-03-27 18:06:34]: | epoch   4 |  3000/ 3494 batches | rec loss 0.4684 | dis loss 0.2386 |
[2021-03-27 18:06:44]: | epoch   4 |  3200/ 3494 batches | rec loss 0.3910 | dis loss 0.2011 |
[2021-03-27 18:06:54]: | epoch   4 |  3400/ 3494 batches | rec loss 0.3780 | dis loss 0.2105 |
[2021-03-27 18:06:59]: | end of epoch   4 | time: 170.81s |
[2021-03-27 18:06:59]: | epoch   5 |     0/ 3494 batches | rec loss 0.4959 | dis loss 0.2651 |
[2021-03-27 18:07:09]: | epoch   5 |   200/ 3494 batches | rec loss 0.5109 | dis loss 0.3310 |
[2021-03-27 18:07:19]: | epoch   5 |   400/ 3494 batches | rec loss 0.3657 | dis loss 0.2259 |
[2021-03-27 18:07:28]: | epoch   5 |   600/ 3494 batches | rec loss 0.4090 | dis loss 0.1797 |
[2021-03-27 18:07:38]: | epoch   5 |   800/ 3494 batches | rec loss 0.4674 | dis loss 0.2426 |
[2021-03-27 18:07:48]: | epoch   5 |  1000/ 3494 batches | rec loss 0.3648 | dis loss 0.1766 |
[2021-03-27 18:07:58]: | epoch   5 |  1200/ 3494 batches | rec loss 0.3895 | dis loss 0.1762 |
[2021-03-27 18:08:08]: | epoch   5 |  1400/ 3494 batches | rec loss 0.3969 | dis loss 0.2045 |
[2021-03-27 18:08:17]: | epoch   5 |  1600/ 3494 batches | rec loss 0.4430 | dis loss 0.1552 |
[2021-03-27 18:08:27]: | epoch   5 |  1800/ 3494 batches | rec loss 0.4189 | dis loss 0.1735 |
[2021-03-27 18:08:37]: | epoch   5 |  2000/ 3494 batches | rec loss 0.4372 | dis loss 0.2403 |
[2021-03-27 18:08:47]: | epoch   5 |  2200/ 3494 batches | rec loss 0.3665 | dis loss 0.1769 |
[2021-03-27 18:08:57]: | epoch   5 |  2400/ 3494 batches | rec loss 0.3093 | dis loss 0.1477 |
[2021-03-27 18:09:07]: | epoch   5 |  2600/ 3494 batches | rec loss 0.3970 | dis loss 0.1478 |
[2021-03-27 18:09:16]: | epoch   5 |  2800/ 3494 batches | rec loss 0.4043 | dis loss 0.2059 |
[2021-03-27 18:09:26]: | epoch   5 |  3000/ 3494 batches | rec loss 0.4435 | dis loss 0.2094 |
[2021-03-27 18:09:36]: | epoch   5 |  3200/ 3494 batches | rec loss 0.3858 | dis loss 0.1851 |
[2021-03-27 18:09:45]: | epoch   5 |  3400/ 3494 batches | rec loss 0.3475 | dis loss 0.1989 |
[2021-03-27 18:09:50]: | end of epoch   5 | time: 171.13s |
[2021-03-27 18:09:50]: | epoch   6 |     0/ 3494 batches | rec loss 0.4631 | dis loss 0.2957 |
[2021-03-27 18:10:00]: | epoch   6 |   200/ 3494 batches | rec loss 0.4631 | dis loss 0.3171 |
[2021-03-27 18:10:10]: | epoch   6 |   400/ 3494 batches | rec loss 0.3426 | dis loss 0.2516 |
[2021-03-27 18:10:20]: | epoch   6 |   600/ 3494 batches | rec loss 0.3740 | dis loss 0.1460 |
